text,Nama perusahan/produk,sumber ,Kategori,Legalitas,,,
- DAPAT BERGABUNG DI GRUB VIP EA GARUDA INDONESIA",EA Garuda Profit,https://www.tokopedia.com/l73/trading-otomatis-robot-forex-ea-garuda-profit-garansi-mc-premium?extParam=ivf%3Dfalse%26src%3Dsearch,Trading Robot,ilegal,,,
"Keunggulan Investasi Reksa Dana di Bibit
Bibit membantu investor pemula untuk memulai investasi tanpa perlu pengalaman
Teknologi Robo Advisor
Membantu seleksi reksa dana berkualitas yang sesuai dengan
profil risiko kamu.
Gratis Biaya Komisi
Semua transaksi pembelian dan penjualan reksa dana tidak dipungut biaya komisi.
Cairkan Kapan Saja
Cairkan dana investasi kapan pun sewaktu kamu butuhkan tanpa
penalti.
Keamanan Dana Terjaga
Dana yang kamu investasikan sepenuhnya akan disimpan secara aman di Bank Kustodian
Mulai dari Rp100.000
Investasi dapat kamu mulai tanpa
harus mempunyai modal yang
besar.
Proses Pencairan Terverifikasi
Dana investasimu hanya bisa dicairkan ke rekening atas nama kamu yang tercatat di KTP.
Data Akun Terlindungi
Dukungan sistem biometrik seperti Face ID dan Fingerprint dapat membatasi orang lain untuk mengakses akunmu.
Fitur Pengenal Perangkat
Kamu akan mendapatkan email notifikasi untuk setiap aktivitas login yang mencurigakan.",BIBIT,,,legal,,,
"Sukuk Tabungan Seri ST008 adalah produk investasi syariah yang diterbitkan oleh Pemerintah kepada individu Warga Negara Indonesia yang aman, mudah, terjangkau, menguntungkan, dan sesuai syariah.
#JadiLebihBijak dengan Investasi ST008.Pokok dan Imbalan dijamin oleh negara
Tingkat imbalan kompetitif, lebih tinggi dari rata-rata tingkat bunga deposito Bank BUMN
Imbalan mengambang mengikuti perkembangan BI 7-Day Reverse Repo Rate dengan jaminan imbalan minimal (floor)
Imbalan dibayar tiap bulan
Early redemption tanpa dikenakan redemption cost oleh pemerintah
Kemudahan akses transaksi Sistem Elektronik (online)
Berpartisipasi langsung membangun negeri
Produk sesuai prinsip syariah
Berinvestasi pada Instrumen Pemerintah kini kian mudah dengan adanya e-SBN. Melalui e-SBN, Anda dapat melakukan pembelian ST008 di mana saja dan kapan saja secara on-line selama masa penawaran.",Sukuk Bunga ST008,,,legal,,,
"Deposito Rupiah J Trust adalah simpanan berjangka dalam mata uang Rupiah yang memiliki nilai investasi paling tinggi dibandingkan produk tabungan maupun giro. Nasabah tidak dapat menarik dananya sewaktu-waktu kecuali berdasarkan perjanjian penyimpanan yang telah disepakati. Bila terpaksa nasabah harus mencairkan dananya, maka akan dikenakan pinalty / denda atas penarikan dana sebelum jatuh tempo sesuai ketentuan yang berlaku. Perhitungan bunga secara harian (sesuai penempatan).
Suku bunga diberikan lebih tinggi dari simpanan lainnya.
Penempatan minimal terjangkau.",Deposito Bank JTrust,,,legal,,,
"Pilihan Investasi yang Memberi Keuntungan dan Rasa Aman
Untuk memastikan uang Anda diinvestasikan di tempat yang aman dan terpercaya sekaligus menguntungkan, Mandiri Deposito Rupiah adalah pilihan yang tepat dan dapat diandalkan. Mandiri Deposito Rupiah adalah simpanan berjangka dalam mata uang Rupiah dengan bunga menarik dan beragam keuntungan lainnya. Suku bunga Mandiri Deposito yang kompetitif menjadikan investasi Anda lebih cepat berkembang.  Bunga dihitung berdasarkan jumlah hari sebenarnya (1 tahun dihitung 365 hari).  Fleksibilitas Tinggi
Tersedia berbagai pilihan jangka waktu yang dapat Anda tentukan sesuai dengan kebutuhan Anda, yaitu: 1, 3, 6, 12, atau 24 bulan.
Bebas memperpanjang deposito secara otomatis (Automatic Roll Over /ARO).
Anda dapat memilih untuk menginvestasikan kembali bunga deposito ke pokok deposito atau ditransfer ke rekening Mandiri Giro atau Mandiri Tabungan yang dapat ditarik setiap saat.
Bunga Deposito dapat diterima di muka, sehingga Anda tidak perlu membayar penuh sesuai jumlah yang Anda ingin tempatkan pada Mandiri Deposito Rupiah.
Dapat dibuka atas nama 2 orang pribadi (joint account).  Deposito Anda dapat diperpanjang secara otomatis pada saat jatuh tempo.

Pembukaan dan penutupan deposito dapat dilakukan melalui Mandiri Online.

Tersedia layanan informasi dan pembatalan perpanjangan deposito otomatis/ ARO melalui Mandiri Online.  Mandiri Kredit Agunan Deposito
Anda dapat memperoleh fasilitas Kredit Agunan Deposito dengan Deposito Anda sebagai jaminannya. Apapun kebutuhan Anda dapat dipenuhi dengan cepat dan mudah sementara Deposito Anda tetap menghasilkan bunga.",Deposito Rupiah Bank Mandiri,,,legal,,,
"Deposito BCA merupakan pilihan investasi yang tepat
Bagi Nasabah yang berniat menyisihkan sebagian tabungan untuk berinvestasi, maka Deposito BCA dapat menjadi salah satu pilihan. Uang Nasabah akan bekerja dengan sendirinya. Dengan pilihan jangka waktu dan bunga yang kompetitif, Deposito BCA menjadi pilihan investasi yang tepat. Deposito merupakan produk simpanan berjangka di mana penyetorannya maupun penarikannya hanya bisa dilakukan pada waktu tertentu saja.  Tersedia dalam 9 pilihan mata uang (IDR, USD, SGD, HKD, AUD, JPY, GBP, EUR, dan CNH). Pilihan Jangka Waktu
Tentukan jangka waktu deposito mulai dari 1, 3, 6, dan 12 bulan.  Fleksibel

Bunga deposito dapat ditransfer otomatis ke rekening Giro/Tapres/Tahapan BCA/BCA Dollar atau rekening di bank lain",Deposito Rupiah Bank BCA,,,legal,,,
"Deposito Rupiah
Simpanan berjangka dalam mata uang Rupiah yang penarikannya hanya dapat dilakukan pada jangka waktu tertentu dengan memberikan bunga yang menarik dan beragam keuntungan lainnya.  Dapatkan suku bunga yang kompetitif dengan Deposito Rupiah BRI.  Pencarian sebagian nominal Deposito BRI tanpa merubah nomor Rekening.  Pembukaan Deposito rupiah tidak dikenakan biaya administrasi",Deposito Rupiah Bank BRI,,,legal,,,
"BNI Deposito merupakan simpanan berjangka yang menjadikan simpanan Anda aman dengan tingkat suku bunga yang menarik.  Mendapatkan tingkat suku bunga kompetitif.
Dapat dijadikan sebagai jaminan kredit.
Dijamin oleh Lembaga Penjaminan Simpanan (syarat dan ketentuan berlaku).
Tersedia dalam pilihan mata uang sesuai dengan kebutuhan Anda yaitu mata uang Rupiah atau asing (USD, JPY, GBP, SGD, HKD, EUR, AUD).
Bunga dapat ditransfer ke rekening Tabungan, Giro atau menambah pokok simpanan.
Pada saat jatuh tempo dapat diperpanjang secara otomatis (Authomatic Roll Over/ARO) atau tidak otomatis (Non ARO).
Tersedia dalam berbagai pilihan jangka waktu sesuai dengan kebutuhan Anda yaitu 1, 3, 6, 12 atau 24 bulan.",Deposito Rupiah Bank BNI,,,legal,,,
"Sukuk Negara Ritel (Sukuk Ritel) adalah produk investasi syariah yang ditawarkan oleh Pemerintah kepada individu Warga Negara Indonesia, sebagai instrumen investasi yang aman, mudah, terjangkau, dan menguntungkan. #BangkitkanEkonomiNegeriLewatInvestasi SR014. Pokok dan Imbalan dijamin oleh negara
Tingkat imbalan kompetitif, lebih tinggi dari rata-rata tingkat bunga deposito Bank BUMN
Tingkat imbalan tetap
Imbalan dibayar tiap bulan
Dapat diperdagangkan di pasar sekunder antar investor domestik
Cukup dengan Rp 1 Juta Anda sudah bisa berinvestasi di Sukuk Ritel
Mendukung Pembiayaan Pembangunan Nasional
Akses investasi sesuai prinsip syariah
",Sukuk Ritel SR014,,,legal,,,
"Nikmati mudahnya investasi saham di MOST
Biaya transaksi kompetitif, dengan pilihan platform yang fleksibel, serta fasilitas pinjaman dengan biaya yang terjangkau",MOST,,,legal,,,
"Bareksa adalah pionir platform investasi dan memiliki izin sebagai Agen Penjual Efek Reksa Dana (APERD) dari OJK sejak tahun 2016.  Tersedia lebih dari 130 produk reksadana dan 30 Manajer Investasi terverifikasi. Temukan pilihan reksadana terbaik hanya di Bareksa.  Bareksa tidak menyimpan dana nasabah. Seluruh dana nasabah tersimpan secara aman di Bank Kustodian.  Tidak butuh modal besar untuk memulai. Dengan Rp 10.000 kamu bisa mulai berinvestasi pada produk tertentu di Bareksa.  Proses registrasi, pembelian, hingga monitoring portofolio reksadana 100% dilakukan secara online.  Reksadana mudah dijual, dana akan cair dan masuk ke rekening investor maksimal dalam 7 hari kerja.",Bareksa,,,legal,,,
"Berikut empat keuntungan yang akan kamu dapatkan apabila memilih obligasi sebagai investasi kamu di BCA.  Apabila kamu memilih obligasi, kamu dapat memperoleh capital gain apabila obligasi dijual dengan harga yang lebih tinggi dari harga beli. Hal ini dilakukan ketika kamu telah memperhitungkan biaya transaksi di Pasar Sekunder.  Jika kamu memilih obligasi jenis SBR, ST, ORI, SR, FR, PBS, INDON, dan INDOIS, kamu terbebas dari biaya transfer kupon atau imbalan.  Investasi obligasi di BCA dapat kamu jadikan agunan. Hal ini dikhususkan untuk Nasabah Prioritas dan Solitaire. Bagi obligasi ORI dan SR dapat dijadikan sebagai Agunan Kredit Lokal, Time Loan Revolving, Installment Loan, dan Personal Loan.  Dengan membeli obligasi atau surat berharga negara, kamu dapat berkesempatan untuk menjadi partisipan dalam mendukung pembangunan negara.",Obligasi BCA,,,legal,,,
"Dikelola Manajer Investasi Profesional, Investasi dikelola oleh Manajer Investasi yang professional dan berpengalaman di dunia investasi pasar modal. Manajer Investasi terdaftar dan telah mendapatkan izin Wakil Manajer Investasi (WMI) dari Otoritas Jasa Keuangan (OJK). Investasi Anda akan dialokasikan sesuai dengan kebijakan investasi pada prospektus untuk mencapai hasil investasi (return) yang optimal. Diversifikasi Investasi Setiap produk Reksa Dana terdiri dari berbagai jenis instrumen investasi, seperti saham, obligasi atau pasar uang dari beberapa emiten yang berbeda sesuai dengan kebijakan investasinya. Alokasi aset yang terdiversifikasi secara optimal akan meminimalisir risiko penurunan nilai insecara bersamaan./ Likuiditas Tinggi, Produk Reksa Dana dapat dicairkan kapan saja setiap hari bursa/ Bebas Pajak, Hasil investasi reksa dana bukan merupakan obyek pajak (self-assesment)./ Terjangkau Investasi reksa dana dapat dimulai dengan nominal yang terjangkau.  Risiko Penurunan Nilai Unit Penyertaan, Fluktuasi pada nilai unit penyertaan terjadi karena adanya perubahan harga efek portofolio Reksa Dana/ Risiko Pasar/Adanya perubahan kondisi pasar (suku bunga, nilai tukar, inflasi) akan mempengaruhi Nilai Aktiva Bersih (NAB) suatu Reksa Dana/ Risiko Likuiditas, Apabila terjadi penjualan kembali dalam jumlah besar secara serentak/  Risiko Perubahan Peraturan Perpajakan. Perubahan peraturan perpajakan dapat mempengaruhi realisasi tingkat pengembalian reksa dana/ Risiko Pembubaran / Likuidasi,  Reksa Dana dapat dibubarkan oleh Otoritas Jasa Keuangan apabila Nilai Aktiva Bersih (NAB) reksa dana kurang dari jumlah minimum yang ditetapkan sesuai prospektus",Reksadana Bank Mega,,,legal,,,
"Obligasi adalah surat berharga yang diterbitkan oleh pemerintah, korporasi, atau penerbit obligasi lainnya, dan bertujuan mengumpulkan dana. Penerbit obligasi akan membayarkan kembali pokok hutang beserta kupon bunganya pada saat jatuh tempo pembayaran. Manfaat Memiliki potensi tingkat pengembalian yang lebih tinggi dibandingkan dengan produk deposito
Memiliki kupon regular yang dibayarkan oleh penerbit obligasi secara berkala
Fleksibilitas jangka waktu dimana produk obligasi dapat dicairkan sebelum jatuh tempo
Beragam pilihan obligasi berdasarkan jangka waktu dan mata uang
Memiliki potensi keuntungan dari kenaikan harga obligasi Risiko
Risiko Pasar
Risiko yang dapat mempengaruhi nilai investasi nasabah yang disebabkan oleh perubahan pasar, seperti perubahan suku bunga, dan perubahan fundamental ekonomi dan kondisi dan kondisi politik yang tidak stabil. Risiko Wanprestasi
Risiko dimana nasabah tidak dapat memperoleh pembayaran dana yang dijanjikan oleh penerbit pada saat produk investasi jatuh tempo kupon dan pokok. Risiko Likuiditas
Risiko apabila nasabah tidak dapat melikuidasi produk investasi dalam waktu yang cepat pada harga yang wajar.",Obligasi Bank Mega,,,legal,,,
Trim Kapital Plus yang bertujuan investasi untuk memperoleh peningkatan nilai investasi yang maksimal dalam jangka panjang berupa capital gain dan deviden melalui investasi pada Efek bersifat ekuitas. Menarik untuk jangka Panjang (> 5 Thn). Jumlah Minimum Investasi Rendah. Rasio Risk and Reward tinggi.  Pengambilan dana fleksibel.  Core Fund Strategy dengan fokus ke saham – saham blue chip.  Cocok untuk nasabah dengan risk profile agresif ,TRIM KAPITAL PLUS BTN,,,legal,,,
"Untuk berbagai tujuan jangka panjang, saham-saham papan atas bisa jadi pilihan saat Anda ingin memacu pertumbuhan dana.  Untuk berbagai tujuan jangka panjang, saham-saham papan atas bisa jadi pilihan saat Anda ingin memacu pertumbuhan dana. Reksa Dana Manulife Dana Saham (MDS) berinvestasi di saham-saham paling likuid di bursa saham Indonesia, dipersembahkan bagi Anda yang menginginkan alternatif investasi saham dengan kinerja relatif terjaga. MDS menawarkan mantapnya kinerja saham-saham LQ45 (saham-saham dengan transaksi terbesar di bursa saham Indonesia, sering kali adalah saham-saham berkapitalisasi besar), dengan sebagian kecil alokasi pada obligasi dan deposito.  Menarik untuk jangka Panjang (> 5 Thn). Jumlah Minimum Investasi Rendah. Rasio Risk and Reward tinggi.  Pengambilan dana fleksibel.  Core Fund Strategy dengan fokus ke saham – saham blue chip.  Cocok untuk nasabah dengan risk profile agresif ",MANULIFE DANA SAHAM,,,legal,,,
"Manulife Syariah Sektoral Amanah (""MSSA"") Reksa dana saham dengan pengelolaan berbasis prinsip-prinsip Syariah.  Manulife Syariah Sektoral Amanah (""MSSA"") Reksa dana saham dengan pengelolaan berbasis prinsip-prinsip Syariah. Mempunyai tujuan untuk menghasilkan peningkatan modal dengan berinvestasi pada saham-saham sesuai prinsip-prinsip Syariah dari perusahaan-perusahaan yang bergerak dalam sektor-sektor yang memiliki posisi yang baik di bursa dengan memanfaatkan peluang-peluang yang ada pada perekonomian Indonesia dan global, serta memberikan kinerja investasi jangka panjang yang optimal.  Menarik untuk jangka Panjang (> 5 Thn). Jumlah Minimum Investasi Rendah.  Rasio Risk and Reward tinggi.  Pengambilan dana fleksibel.  Fokus ke saham – saham Daftar Efek Syariah.  Strategy pengelolaan menggunakan prinsip syariah",MANULIFE SYARIAH SEKTORAL AMANAH,,,legal,,,
Schroder Dana Prestasi bertujuan untuk memperoleh keuntungan dari pertumbuhan ekonomi Indonesia dengan investasi modal dalam jangka panjang pada saham.  Schroder Dana Prestasi bertujuan untuk memperoleh keuntungan dari pertumbuhan ekonomi Indonesia dengan investasi modal dalam jangka panjang pada saham. Target komposisi dari Schroder Dana Prestasi Plus adalah minimum 80% pada Efek Ekuitas Badan Hukum Indonesia yang tercatat pada Bursa Efek di Indonesia dan maksimum 20% pada instrumen Pasar Uang berdasarkan peraturan perundang-undangan yang berlaku di Indonesia.,SCHRODER DANA PRESTASI,,,legal,,,